Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     26     2871.0122      1371.0121         0.0000         0.0000         0.0000         0.0000         0.0000         0.9184         0.0000         0.0018         0.0000        -0.0113         2.9971         0.0016         0.0291         0.3977         1.0000       667.5461       -39.8691      -613.1357       -14.5419      -287.9010      1333.2627      2003.8351       843.7035         0.4698        28.3000        14.4303        13.1299         0.3537         0.3773         2.1345
      1     27     2869.9832      1369.9830         0.0000         0.0000         0.0000         0.0000         0.0000         0.9966         0.0000         0.0018         0.0000        -0.0113         2.9970         0.0017         0.0307         0.3974         1.0000       679.4064       -42.1207      -626.0378       -11.2497      -301.8695      1373.7181      2058.0386       878.7853         0.4698        29.7700        14.6309        13.5733         0.3500         0.3744         2.1271
      1     28     2868.9604      1368.9604         0.0000         0.0000         0.0000         0.0000         0.0000         0.9747         0.0000         0.0018         0.0000        -0.0114         2.9970         0.0018         0.0461         0.3971         1.0000       660.6988       -63.0255      -574.8994       -22.7740      -229.5423      1363.8518      1961.3445       860.3471         0.4698        30.5100        16.6236        14.3409         0.3460         0.3716         2.0215
      1     29     2868.0918      1368.0918         0.0000         0.0000         0.0000         0.0000         0.0000         0.8070         0.0000         0.0018         0.0000        -0.0114         2.9969         0.0018         0.0598         0.3968         1.0000       552.6525       -81.6030      -436.7218       -34.3285       -52.4086      1139.3665      1598.8728       653.7054         0.4698        30.8900        18.9578        15.3736         0.3423         0.3693         2.0079
      1     30     2867.0706      1367.0706         0.0000         0.0000         0.0000         0.0000         0.0000         0.9827         0.0000         0.0018         0.0000        -0.0114         2.9969         0.0019         0.0369         0.3965         1.0000       596.6885       -50.5063      -542.5342        -3.6478      -196.1188      1266.8618      1890.9609       781.5327         0.4698        31.7400        15.8662        15.2688         0.3386         0.3664         2.1352
      1     31     2866.1045      1366.1045         0.0000         0.0000         0.0000         0.0000         0.0000         0.9193         0.0000         0.0018         0.0000        -0.0115         2.9969         0.0020         0.0447         0.3963         1.0000       584.7338       -61.0426      -504.5629       -19.1287      -139.1035      1203.4719      1760.8828       716.8054         0.4698        32.3700        17.8624        15.7448         0.3348         0.3638         2.1431
      1     32     2865.1807      1365.1805         0.0000         0.0000         0.0000         0.0000         0.0000         0.8823         0.0000         0.0018         0.0000        -0.0115         2.9968         0.0020         0.0399         0.3960         1.0000       520.6086       -54.5682      -452.9619       -13.0781       -80.4980      1135.6500      1657.4448       660.3766         0.4698        32.9000        17.5254        15.9623         0.3313         0.3612         2.1536
      1     33     2864.3350      1364.3350         0.0000         0.0000         0.0000         0.0000         0.0000         0.7847         0.0000         0.0018         0.0000        -0.0116         2.9968         0.0021         0.0590         0.3957         1.0000       529.9246       -80.3828      -414.2260       -35.3159       -14.2564      1049.9518      1513.7661       568.5507         0.4698        32.9400        20.7903        16.9039         0.3277         0.3590         2.1677
      1     34     2863.5552      1363.5552         0.0000         0.0000         0.0000         0.0000         0.0000         0.7071         0.0000         0.0018         0.0000        -0.0116         2.9967         0.0022         0.0710         0.3955         1.0000       508.2523       -96.5121      -368.9738       -42.7662        51.8882       963.9246      1393.6929       483.2088         0.4698        33.2000        22.7749        17.9469         0.3241         0.3569         2.1950
      1     35     2862.8667      1362.8667         0.0000         0.0000         0.0000         0.0000         0.0000         0.6151         0.0000         0.0018         0.0000        -0.0116         2.9967         0.0023         0.0717         0.3952         1.0000       459.8051       -97.3167      -320.1254       -42.3635       116.0432       870.4032      1260.4575       396.3566         0.4698        33.1800        23.7876        18.8363         0.3207         0.3551         2.2515
