Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      7     41     2754.5723      1254.5845         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0099         0.0156         0.3637         1.0000        77.5664       -21.2186       -52.8027        -3.5452       422.0822       428.1599       557.6268        -1.0894         0.4698        24.8600        22.5048        21.3285         0.1199         0.1652            NaN
      7     42     2754.5569      1254.5692         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0100         0.0139         0.3636         1.0000        71.4153       -18.9329       -51.7195        -0.7627       416.8650       423.1931       547.0223        -0.5384         0.4698        23.9600        21.5089        20.9098         0.1197         0.1652            NaN
      7     43     2754.5427      1254.5551         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0100         0.0122         0.3636         1.0000        65.1048       -16.6649       -49.8568         1.4174       413.0239       419.6482       540.4106         1.0443         0.4698        23.2800        20.5742        20.4453         0.1194         0.1652            NaN
      7     44     2754.5288      1254.5413         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0100         0.0120         0.3636         1.0000        69.2673       -16.4067       -53.0327         0.1723       408.1983       415.0018       533.7977        -2.6761         0.4698        22.4400        20.4044        20.1200         0.1192         0.1652            NaN
      7     45     2754.5146      1254.5271         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0100         0.0125         0.3636         1.0000        73.5441       -17.0216       -54.5688        -1.9540       407.5429       414.2380       532.2668        -4.4190         0.4698        22.3400        20.5839        19.9505         0.1189         0.1652            NaN
      7     46     2754.5012      1254.5138         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0100         0.0117         0.3636         1.0000        66.8185       -15.9954       -50.8842         0.0614       407.7287       414.2576       533.0533        -0.8727         0.4698        22.3900        19.9359        19.6834         0.1187         0.1652            NaN
      7     47     2754.4888      1254.5015         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0106         0.3636         1.0000        63.1936       -14.5068       -50.4876         1.8007       403.8639       410.6428       528.7463        -0.8058         0.4698        21.7000        19.2548        19.3561         0.1185         0.1652            NaN
      7     48     2754.4768      1254.4895         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0101         0.3636         1.0000        63.3248       -13.7897       -50.9869         1.4518       401.7280       408.7047       524.4094        -1.4277         0.4698        21.3100        19.0102        19.0925         0.1183         0.1652            NaN
      8      1     2754.4658      1254.4785         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0093         0.3636         1.0000        64.9121       -12.7361       -54.1543         1.9788       395.5426       402.9294       522.8273        -5.1128         0.4698        20.1900        18.6204        18.8302         0.1181         0.1652            NaN
      8      2     2754.4551      1254.4679         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0090         0.3636         1.0000        65.3711       -12.2468       -55.4102         2.2856       391.9530       399.4370       519.9170        -6.8101         0.4698        19.5500        18.2844        18.5815         0.1179         0.1652            NaN
      8      3     2754.4468      1254.4597         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0064         0.3636         1.0000        54.3285        -8.7858       -53.2626         7.7194       384.8429       392.9540       518.1669        -5.1018         0.4698        18.2200        16.7362        18.0620         0.1178         0.1652            NaN
      8      4     2754.4397      1254.4528         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0052         0.3636         1.0000        48.1001        -7.1337       -50.7399         9.7740       381.5927       389.8683       508.0439        -2.9022         0.4698        17.6200        15.7239        17.5057         0.1177         0.1652            NaN
      8      5     2754.4346      1254.4476         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0035         0.3636         1.0000        34.9551        -4.8168       -44.3798        14.2413       379.2185       387.6081       501.4856         3.2159         0.4698        17.1800        14.0971        16.7774         0.1176         0.1652            NaN
      8      6     2754.4268      1254.4401         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0057         0.3636         1.0000        57.8447        -7.7481       -54.2681         4.1717       377.7760       385.9917       490.5461        -7.0628         0.4698        16.9400        15.7786        16.7016         0.1175         0.1652            NaN
      8      7     2754.4197      1254.4329         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0056         0.3636         1.0000        56.1427        -7.6599       -54.0826         5.5999       375.4401       383.5452       500.4297        -7.3382         0.4698        16.5300        15.3599        16.5193         0.1174         0.1652            NaN
      8      8     2754.4128      1254.4263         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0048         0.3636         1.0000        49.3639        -6.5438       -52.5577         9.7382       370.1244       378.2377       496.8880        -6.6025         0.4698        15.5600        14.1848        16.1167         0.1173         0.1652            NaN
      8      9     2754.4092      1254.4227         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0101         0.0020         0.3636         1.0000        44.0128        -2.6973       -52.7694        11.4532       364.9937       374.2456       491.6468        -6.4451         0.4698        14.4800        13.3695        15.6709         0.1172         0.1652            NaN
      8     10     2754.4063      1254.4199         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0102         0.0011         0.3636         1.0000        40.1660        -1.5184       -51.5685        12.9213       361.6649       371.0939       486.4786        -5.5666         0.4698        13.8400        12.5709        15.1982         0.1172         0.1652            NaN
      8     11     2754.4036      1254.4172         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0159         2.9887         0.0102         0.0009         0.3636         1.0000        37.9321        -1.2520       -50.0413        13.3615       360.0504       369.4194       481.1073        -4.3416         0.4698        13.5300        11.9922        14.7559         0.1172         0.1652         0.0000
      8     12     2754.3794      1254.3931         0.0000         0.0000         0.0000         0.0000         0.0000         0.0215         0.0000         0.0018         0.0000        -0.0159         2.9886         0.0102         0.0009         0.3636         1.0000        40.8960        -1.1909       -51.6311        11.9264       357.6031       358.4198       466.7919         1.8114         0.4698        13.5100        11.8940        14.4387         0.1172         0.1652         3.5394
      8     13     2754.3118      1254.3256         0.0000         0.0000         0.0000         0.0000         0.0000         0.0658         0.0000         0.0018         0.0000        -0.0159         2.9886         0.0102        -0.0000         0.3636         1.0000       118.6088         0.0000      -138.6893        20.0808       241.9885       354.0452       525.9180         2.3481         0.4698        13.5200         9.6196        13.6942         0.1172         0.1652         4.2992
      8     14     2754.1909      1254.2050         0.0000         0.0000         0.0000         0.0000         0.0000         0.1190         0.0000         0.0018         0.0000        -0.0159         2.9886         0.0102        -0.0000         0.3636         1.0000       145.6967         0.0000      -167.6951        21.9982       201.0041       461.6206       680.5175       105.0887         0.4698        13.7300         8.4149        12.9464         0.1172         0.1652         2.7790
      8     15     2754.0056      1254.0195         0.0000         0.0000         0.0000         0.0000         0.0000         0.1838         0.0000         0.0018         0.0000        -0.0159         2.9886         0.0102        -0.0000         0.3635         1.0000       178.5647         0.0000      -202.9345        24.3696       152.1467       572.4969       835.5670       209.6720         0.4698        14.1100         7.0981        12.1581         0.1172         0.1652         2.3546
      8     16     2753.7415      1253.7556         0.0000         0.0000         0.0000         0.0000         0.0000         0.2620         0.0000         0.0018         0.0000        -0.0159         2.9886         0.0102        -0.0000         0.3635         1.0000       211.9217         0.0000      -240.6851        28.7633        97.5543       678.0864       982.8700       311.3125         0.4698        14.9800         5.2553        11.2182         0.1172         0.1652         2.2122
      8     17     2753.4541      1253.4684         0.0000         0.0000         0.0000         0.0000         0.0000         0.2856         0.0000         0.0018         0.0000        -0.0159         2.9885         0.0102        -0.0000         0.3634         1.0000       288.4089         0.0000      -304.8036        16.3947        33.3375       783.1266      1132.7161       393.8193         0.4698        15.9400         7.2837        11.0730         0.1172         0.1652         2.1590
      8     18     2753.1421      1253.1564         0.0000         0.0000         0.0000         0.0000         0.0000         0.3103         0.0000         0.0018         0.0000        -0.0159         2.9885         0.0102        -0.0000         0.3633         1.0000       360.9525         0.0000      -369.7765         8.8243       -33.6725       882.5594      1300.2578       472.5419         0.4698        16.6500         8.9553        11.3073         0.1172         0.1652         2.1338
      8     19     2752.7722      1252.7865         0.0000         0.0000         0.0000         0.0000         0.0000         0.3681         0.0000         0.0018         0.0000        -0.0160         2.9885         0.0102        -0.0000         0.3632         1.0000       421.9631         0.0000      -427.5610         5.5983       -95.8845       978.1954      1457.1837       551.2552         0.4698        17.8000         9.9637        11.6348         0.1172         0.1652         2.1197
      8     20     2752.2485      1252.2629         0.0000         0.0000         0.0000         0.0000         0.0000         0.5220         0.0000         0.0018         0.0000        -0.0160         2.9884         0.0102        -0.0000         0.3631         1.0000       439.9087         0.0000      -460.1469        20.2388      -152.2400      1070.0331      1602.0422       647.2305         0.4698        19.4200         6.7778        11.0764         0.1172         0.1652         2.1138
      8     21     2751.6113      1251.6260         0.0000         0.0000         0.0000         0.0000         0.0000         0.6353         0.0000         0.0018         0.0000        -0.0160         2.9883         0.0102        -0.0000         0.3630         1.0000       474.9758         0.0000      -498.1171        23.1417      -203.8422      1153.6853      1710.3286       726.7012         0.4698        21.1200         5.5227        10.4532         0.1172         0.1652         2.1143
      8     22     2750.9480      1250.9625         0.0000         0.0000         0.0000         0.0000         0.0000         0.6616         0.0000         0.0018         0.0000        -0.0160         2.9883         0.0102        -0.0000         0.3628         1.0000       555.9481         0.0000      -559.5038         3.5550      -253.1995      1224.4421      1815.9153       769.2609         0.4698        22.3100         9.6000        10.9958         0.1172         0.1652         2.1202
      8     23     2750.2056      1250.2203         0.0000         0.0000         0.0000         0.0000         0.0000         0.7404         0.0000         0.0018         0.0000        -0.0160         2.9882         0.0102         0.0000         0.3626         1.0000       594.8518        -0.0088      -596.7098         1.8660      -291.5117      1280.9618      1929.0433       814.3162         0.4698        23.5300        10.5480        11.4955         0.1172         0.1652         2.1271
      8     24     2749.4175      1249.4323         0.0000         0.0000         0.0000         0.0000         0.0000         0.7855         0.0000         0.0018         0.0000        -0.0160         2.9881         0.0102         0.0011         0.3624         1.0000       624.8701        -1.5063      -622.4067        -0.9574      -314.8869      1319.3688      1992.1083       842.2605         0.4698        24.3800        11.7253        12.0543         0.1172         0.1652         2.1268
      8     25     2748.6038      1248.6189         0.0000         0.0000         0.0000         0.0000         0.0000         0.8089         0.0000         0.0018         0.0000        -0.0161         2.9880         0.0102         0.0028         0.3622         1.0000       653.5429        -3.7963      -642.1202        -7.6262      -325.2802      1343.0383      2031.2986       852.5015         0.4698        25.2700        13.8847        12.8886         0.1171         0.1652         2.1267
      8     26     2747.7473      1247.7623         0.0000         0.0000         0.0000         0.0000         0.0000         0.8521         0.0000         0.0018         0.0000        -0.0161         2.9879         0.0102         0.0026         0.3619         1.0000       645.4355        -3.5463      -636.3192        -5.5694      -316.4075      1345.9111      2040.2522       854.0969         0.4698        26.2800        14.2257        13.4779         0.1171         0.1652         2.1269
      8     27     2746.8723      1246.8876         0.0000         0.0000         0.0000         0.0000         0.0000         0.8688         0.0000         0.0018         0.0000        -0.0161         2.9878         0.0102         0.0043         0.3617         1.0000       657.2158        -5.8824      -641.8121        -9.5204      -313.5397      1345.6270      2040.9331       846.3995         0.4698        27.0000        15.7643        14.2124         0.1170         0.1652         2.1351
      8     28     2745.9980      1246.0134         0.0000         0.0000         0.0000         0.0000         0.0000         0.8668         0.0000         0.0018         0.0000        -0.0161         2.9876         0.0102         0.0055         0.3614         1.0000       648.0283        -7.5487      -628.0037       -12.4763      -288.3895      1324.1818      2008.1329       820.8661         0.4698        27.6600        17.2101        15.0117         0.1169         0.1652         2.1357
      8     29     2745.1372      1245.1527         0.0000         0.0000         0.0000         0.0000         0.0000         0.8534         0.0000         0.0018         0.0000        -0.0162         2.9875         0.0102         0.0059         0.3612         1.0000       615.8464        -8.0193      -597.0050       -10.8215      -249.4128      1284.2184      1943.2561       784.4586         0.4698        27.9600        17.6134        15.6154         0.1167         0.1652         2.1312
      8     30     2744.3132      1244.3287         0.0000         0.0000         0.0000         0.0000         0.0000         0.8149         0.0000         0.0018         0.0000        -0.0162         2.9874         0.0102         0.0074         0.3609         1.0000       592.8882       -10.1265      -567.4023       -15.3594      -203.9183      1231.9006      1856.0862       730.5065         0.4698        28.3900        19.3105        16.4068         0.1166         0.1652         2.1370
      8     31     2743.5256      1243.5411         0.0000         0.0000         0.0000         0.0000         0.0000         0.7779         0.0000         0.0018         0.0000        -0.0162         2.9873         0.0102         0.0080         0.3607         1.0000       549.6956       -10.8700      -524.8839       -13.9425      -151.0164      1166.1899      1756.2656       671.1716         0.4698        28.5100        19.7636        17.0205         0.1164         0.1652         2.1413
      8     32     2742.7808      1242.7965         0.0000         0.0000         0.0000         0.0000         0.0000         0.7349         0.0000         0.0018         0.0000        -0.0162         2.9872         0.0102         0.0079         0.3604         1.0000       498.7893       -10.8145      -476.9980       -10.9776       -95.3029      1092.0995      1639.2051       607.5239         0.4698        28.4800        19.6658        17.4080         0.1163         0.1652         2.1546
      8     33     2742.0974      1242.1133         0.0000         0.0000         0.0000         0.0000         0.0000         0.6720         0.0000         0.0018         0.0000        -0.0162         2.9871         0.0102         0.0096         0.3602         1.0000       458.4781       -13.1072      -429.6385       -15.7328       -29.7289      1011.8311      1504.2804       530.0100         0.4698        28.8500        21.2025        18.0353         0.1161         0.1652         2.1723
      8     34     2741.4897      1241.5056         0.0000         0.0000         0.0000         0.0000         0.0000         0.5956         0.0000         0.0018         0.0000        -0.0163         2.9870         0.0103         0.0104         0.3600         1.0000       410.7383       -14.2115      -379.4063       -17.1198        35.6450       923.4730      1371.9423       448.1315         0.4698        28.8400        22.1688        18.6651         0.1159         0.1652         2.2021
      8     35     2740.9795      1240.9954         0.0000         0.0000         0.0000         0.0000         0.0000         0.4962         0.0000         0.0018         0.0000        -0.0163         2.9869         0.0103         0.0122         0.3599         1.0000       370.6660       -16.5841      -334.9164       -19.1658        95.4004       826.1215      1230.8740       356.7987         0.4698        28.3200        23.2979        19.3383         0.1156         0.1652         2.2652
      8     36     2740.5425      1240.5585         0.0000         0.0000         0.0000         0.0000         0.0000         0.4216         0.0000         0.0018         0.0000        -0.0163         2.9869         0.0103         0.0137         0.3597         1.0000       326.8236       -18.5808      -290.3051       -17.9373       150.4124       725.8588      1091.0569       267.0166         0.4698        28.1800        23.6800        19.8681         0.1154         0.1652         2.4102
      8     37     2740.1633      1240.1794         0.0000         0.0000         0.0000         0.0000         0.0000         0.3609         0.0000         0.0018         0.0000        -0.0163         2.9868         0.0103         0.0162         0.3596         1.0000       312.2382       -22.0242      -275.2751       -14.9395       166.8338       617.9075       966.6367       172.2305         0.4698        27.9600        23.4897        20.1848         0.1150         0.1652         2.9132
      8     38     2739.8115      1239.8278         0.0000         0.0000         0.0000         0.0000         0.0000         0.3392         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0103         0.0109         0.3595         1.0000       458.0069       -14.8765      -447.3521         4.2209       -63.6374       501.7742      1068.2650        91.6423         0.4698        27.1900        19.1598        19.4218         0.1148         0.1652         7.3032
      8     39     2739.7925      1239.8088         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0172         0.3594         1.0000        90.8571       -23.3099       -47.6041       -19.9437       439.8728       411.1602       430.9769       -27.6230         0.4698        25.8800        24.2711        20.1825         0.1145         0.1652         0.0000
      8     40     2739.7776      1239.7939         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0134         0.3594         1.0000        81.2554       -18.1619       -54.8341        -8.2594       417.6636       423.6836       559.4246        -3.4519         0.4698        24.0200        22.1946        20.1525         0.1142         0.1652            NaN
      8     41     2739.7642      1239.7808         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0113         0.3594         1.0000        73.1189       -15.4237       -54.5720        -3.1229       409.6659       416.1163       544.9711        -3.9590         0.4698        22.6200        20.9144        19.8681         0.1140         0.1652            NaN
      8     42     2739.7534      1239.7701         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0089         0.3594         1.0000        65.3860       -12.1263       -54.3569         1.0966       401.5046       408.6696       536.8439        -4.2535         0.4698        21.1400        19.6002        19.4147         0.1138         0.1652            NaN
      8     43     2739.7458      1239.7627         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0060         0.3594         1.0000        52.3765        -8.1681       -50.5297         6.3217       395.0931       402.9211       528.7680        -0.7249         0.4698        19.9500        17.8688        18.7515         0.1137         0.1652            NaN
      8     44     2739.7415      1239.7584         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0026         0.3594         1.0000        28.9619        -3.5613       -40.5846        15.1843       389.3515       397.6144       517.6083         8.7938         0.4698        18.8900        15.0359        17.6983         0.1136         0.1652            NaN
      8     45     2739.7361      1239.7532         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0035         0.3594         1.0000        45.6380        -4.8309       -47.2562         6.4491       388.1150       396.4732       499.5463         2.0319         0.4698        18.6600        16.1198        17.3008         0.1136         0.1652            NaN
      8     46     2739.7341      1239.7513         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0002         0.3593         1.0000         9.6002        -0.2790       -30.5931        21.2715       383.5185       392.0589       506.1036        18.1878         0.4698        17.8200        12.0922        16.0956         0.1136         0.1652            NaN
      8     47     2739.7278      1239.7451         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0043         0.3593         1.0000        56.9860        -5.8195       -52.6036         1.4363       379.5226       387.6496       479.2056        -4.8354         0.4698        17.1500        15.7439        16.1883         0.1135         0.1652            NaN
      8     48     2739.7229      1239.7402         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0033         0.3593         1.0000        56.3024        -4.5846       -54.2207         2.5023       376.5903       385.1475       502.5709        -6.4623         0.4698        16.5700        15.5753        16.1479         0.1134         0.1652            NaN
      9      1     2739.7185      1239.7360         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0027         0.3593         1.0000        51.7536        -3.7071       -52.7330         4.6870       374.8362       383.4915       501.4612        -5.1396         0.4698        16.2400        14.9992        15.9657         0.1133         0.1652            NaN
      9      2     2739.7146      1239.7323         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0019         0.3593         1.0000        50.1839        -2.6056       -53.3705         5.7928       371.3416       380.2698       497.9478        -6.0283         0.4698        15.5700        14.5455        15.7386         0.1133         0.1652            NaN
      9      3     2739.7122      1239.7299         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0009         0.3593         1.0000        44.3227        -1.2654       -51.7544         8.6966       367.6000       376.7150       494.9524        -4.7867         0.4698        14.8600        13.6061        15.3737         0.1133         0.1652            NaN
      9      4     2739.7102      1239.7280         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104        -0.0000         0.3593         1.0000        35.5083         0.0000       -48.2064        12.6980       363.7839       373.0083       488.7307        -1.7017         0.4698        14.1400        12.2598        14.8327         0.1133         0.1652            NaN
      9      5     2739.7083      1239.7263         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0002         0.3593         1.0000        41.7961        -0.2342       -50.6954         9.1332       362.8226       372.0563       480.2978        -4.3256         0.4698        13.9600        12.5930        14.5682         0.1133         0.1652            NaN
      9      6     2739.7061      1239.7241         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0004         0.3593         1.0000        44.8994        -0.5744       -51.4531         7.1279       363.2763       372.4641       482.2950        -5.0612         0.4698        14.0500        12.8202        14.4339         0.1133         0.1652            NaN
      9      7     2739.7039      1239.7220         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0004         0.3593         1.0000        44.5138        -0.5289       -51.8450         7.8602       360.9570       370.1223       483.2338        -5.8235         0.4698        13.6200        12.5062        14.2565         0.1133         0.1652            NaN
      9      8     2739.7019      1239.7201         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0003         0.3593         1.0000        44.4180        -0.3801       -51.9181         7.8804       359.7942       368.9795       481.1585        -6.0510         0.4698        13.4000        12.3238        14.0902         0.1133         0.1652            NaN
      9      9     2739.6987      1239.7172         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0104         0.0011         0.3593         1.0000        47.3757        -1.5256       -52.6826         6.8327       359.4292       368.2950       479.1315        -7.1898         0.4698        13.3700        12.4143        13.9947         0.1132         0.1652            NaN
      9     10     2739.6956      1239.7142         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0105         0.0013         0.3593         1.0000        48.4112        -1.8231       -52.8543         6.2669       359.4816       368.2624       479.4701        -7.4386         0.4698        13.3900        12.4574        13.9312         0.1132         0.1652            NaN
      9     11     2739.6926      1239.7113         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0105         0.0012         0.3593         1.0000        47.7583        -1.6306       -52.3961         6.2685       359.6422       368.4613       479.8484        -6.9179         0.4698        13.4000        12.3933        13.8648         0.1132         0.1652         0.0000
      9     12     2739.6743      1239.6931         0.0000         0.0000         0.0000         0.0000         0.0000         0.0155         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0105         0.0012         0.3593         1.0000        45.2936        -1.6567       -49.5783         5.9413       363.0379       364.4538       476.5073         5.3445         0.4698        13.5400        12.4070        13.8170         0.1132         0.1652         3.0628
      9     13     2739.5569      1239.5757         0.0000         0.0000         0.0000         0.0000         0.0000         0.1154         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0105        -0.0000         0.3593         1.0000        90.5568         0.0000      -119.3138        28.7568       248.6414       364.6980       538.0282        26.4381         0.4698        14.2500         6.7600        12.4802         0.1132         0.1652         4.0996
      9     14     2739.4077      1239.4268         0.0000         0.0000         0.0000         0.0000         0.0000         0.1475         0.0000         0.0018         0.0000        -0.0163         2.9867         0.0105        -0.0000         0.3593         1.0000       144.8808         0.0000      -162.1061        17.2255       206.6643       479.5591       680.1846       122.7597         0.4698        14.7700         8.2531        12.0240         0.1132         0.1652         2.6826
      9     15     2739.1743      1239.1934         0.0000         0.0000         0.0000         0.0000         0.0000         0.2318         0.0000         0.0018         0.0000        -0.0163         2.9866         0.0105        -0.0000         0.3593         1.0000       172.2475         0.0000      -194.2896        22.0417       159.6289       588.7106       846.1418       227.3913         0.4698        15.5800         6.6150        11.3267         0.1132         0.1652         2.3257
      9     16     2738.9297      1238.9489         0.0000         0.0000         0.0000         0.0000         0.0000         0.2427         0.0000         0.0018         0.0000        -0.0163         2.9866         0.0105        -0.0000         0.3592         1.0000       243.7988         0.0000      -255.6029        11.8046        97.6674       691.5867       994.9572       308.7883         0.4698        15.7900         8.4298        11.2878         0.1132         0.1652         2.2048
      9     17     2738.6392      1238.6586         0.0000         0.0000         0.0000         0.0000         0.0000         0.2888         0.0000         0.0018         0.0000        -0.0163         2.9866         0.0105        -0.0000         0.3591         1.0000       304.3358         0.0000      -315.0338        10.6984        29.0664       794.4933      1167.8722       397.5235         0.4698        16.3500         8.6624        11.2695         0.1132         0.1652         2.1613
      9     18     2738.2688      1238.2882         0.0000         0.0000         0.0000         0.0000         0.0000         0.3686         0.0000         0.0018         0.0000        -0.0164         2.9865         0.0105        -0.0000         0.3590         1.0000       350.4804         0.0000      -366.3271        15.8472       -38.5010       892.9797      1324.1152       489.5416         0.4698        17.2000         7.3806        10.9342         0.1132         0.1652         2.1407
      9     19     2737.8477      1237.8673         0.0000         0.0000         0.0000         0.0000         0.0000         0.4194         0.0000         0.0018         0.0000        -0.0164         2.9865         0.0105        -0.0000         0.3589         1.0000       410.8630         0.0000      -424.2740        13.4104      -105.2021       987.5101      1467.1642       570.6780         0.4698        17.9700         7.6432        10.7764         0.1132         0.1652         2.1303
      9     20     2737.3774      1237.3971         0.0000         0.0000         0.0000         0.0000         0.0000         0.4685         0.0000         0.0018         0.0000        -0.0164         2.9864         0.0105        -0.0000         0.3588         1.0000       474.1535         0.0000      -482.2563         8.1026      -166.9526      1075.6761      1608.8931       642.1708         0.4698        18.9300         8.7881        10.9210         0.1132         0.1652         2.1271
      9     21     2736.8105      1236.8302         0.0000         0.0000         0.0000         0.0000         0.0000         0.5650         0.0000         0.0018         0.0000        -0.0164         2.9864         0.0105        -0.0000         0.3587         1.0000       512.8142         0.0000      -525.2665        12.4517      -222.7690      1156.9954      1744.5315       717.8372         0.4698        20.1400         7.8653        10.7720         0.1132         0.1652         2.1292
