time,gpp_maespa_60
09:00:00,4.5531921
09:30:00,4.825076633
10:00:00,5.103531133
10:30:00,5.345376733
11:00:00,5.521887167
11:30:00,5.697356067
12:00:00,5.841876467
12:30:00,5.920743267
13:00:00,5.955313967
13:30:00,5.915399867
14:00:00,5.8326771
14:30:00,5.680276233
15:00:00,5.468157667
15:30:00,5.227716067
16:00:00,4.8963789
16:30:00,4.499993733
17:00:00,3.998509967
17:30:00,3.5056487
18:00:00,3.2660985
18:30:00,4.950162
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.145486467
06:00:00,1.433617067
06:30:00,2.3399195
07:00:00,3.0683616
07:30:00,3.719015633
08:00:00,4.242034367
08:30:00,4.6358697
09:00:00,4.986722267
09:30:00,5.2984115
10:00:00,5.541026267
10:30:00,5.7346124
11:00:00,5.869786967
11:30:00,5.947310967
12:00:00,5.9422732
12:30:00,5.892469267
13:00:00,5.829821767
13:30:00,5.683801467
14:00:00,5.5428693
14:30:00,5.3690282
15:00:00,5.140208767
15:30:00,4.857871667
16:00:00,4.495834667
16:30:00,4.137665567
17:00:00,3.707145533
17:30:00,3.238362367
18:00:00,3.051949467
18:30:00,4.805146767
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.117636267
06:00:00,1.334518333
06:30:00,2.280577067
07:00:00,3.0090948
07:30:00,3.645812267
08:00:00,4.234464867
08:30:00,4.705809367
09:00:00,5.064860533
09:30:00,5.336464333
10:00:00,5.526546633
10:30:00,5.627545233
11:00:00,5.644477667
11:30:00,5.6180432
12:00:00,5.5860733
12:30:00,5.490867433
13:00:00,5.363915567
13:30:00,5.206830667
14:00:00,4.960032633
14:30:00,4.8421959
15:00:00,4.631353733
15:30:00,4.3995787
16:00:00,4.0848938
16:30:00,3.782951567
17:00:00,3.397168867
17:30:00,3.148376067
18:00:00,3.230619733
18:30:00,4.786844
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.094450233
06:00:00,1.194547067
06:30:00,2.232334633
07:00:00,2.9413625
07:30:00,3.582504667
08:00:00,4.144280733
08:30:00,4.5972326
09:00:00,4.963759933
09:30:00,5.2545492
10:00:00,5.499514933
10:30:00,5.6360885
11:00:00,5.765018767
11:30:00,5.767701367
12:00:00,5.720265967
12:30:00,5.6597636
13:00:00,5.529380867
13:30:00,5.3238842
14:00:00,5.084299167
14:30:00,4.914087167
15:00:00,4.613799467
15:30:00,4.285581767
16:00:00,3.9498026
16:30:00,3.580313867
17:00:00,3.250616333
17:30:00,3.033427067
18:00:00,3.233586833
18:30:00,4.953916133
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.160105167
06:00:00,1.155499233
06:30:00,2.150043
07:00:00,2.805990333
07:30:00,3.392099033
08:00:00,3.9626731
08:30:00,4.383462333
09:00:00,4.736287733
09:30:00,5.007320633
10:00:00,5.1887265
10:30:00,5.2721922
11:00:00,5.247829567
11:30:00,5.1712726
12:00:00,5.112977467
12:30:00,4.932848
13:00:00,4.7487592
13:30:00,4.5263352
14:00:00,4.305330167
14:30:00,4.0457457
15:00:00,3.925068033
15:30:00,3.704510033
16:00:00,3.5053818
16:30:00,3.275093933
17:00:00,3.102999533
17:30:00,3.0095431
18:00:00,3.2483638
18:30:00,4.5652865
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.1367946
06:00:00,1.0948337
06:30:00,2.0836201
07:00:00,2.7807166
07:30:00,3.393419367
08:00:00,3.965276
08:30:00,4.4399225
09:00:00,4.813962633
09:30:00,5.095839233
10:00:00,5.276971167
10:30:00,5.395293633
11:00:00,5.3958741
11:30:00,5.241817267
12:00:00,5.132388467
12:30:00,4.912980433
13:00:00,4.663116867
13:30:00,4.3201864
14:00:00,4.029830033
14:30:00,3.9069331
15:00:00,3.711098067
15:30:00,3.4675479
16:00:00,3.271709
16:30:00,3.0751575
17:00:00,2.8889004
17:30:00,2.859800333
18:00:00,3.116888433
18:30:00,0.303010467
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.3825553
06:00:00,1.3328838
06:30:00,2.0898292
07:00:00,2.800483867
07:30:00,3.398829833
08:00:00,3.8725975
08:30:00,4.272372633
09:00:00,4.621087133
09:30:00,4.899760033
10:00:00,5.173352233
10:30:00,5.4141675
11:00:00,5.565284167
11:30:00,5.449833167
12:00:00,5.566974033
12:30:00,5.594855533
13:00:00,5.592655267
13:30:00,5.403984067
14:00:00,4.697382067
14:30:00,5.103916367
15:00:00,4.825778167
15:30:00,4.5247896
16:00:00,4.212129233
16:30:00,3.825927133
17:00:00,3.4163396
17:30:00,3.044912867
18:00:00,2.7927391
18:30:00,3.4215756
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0.355462667
06:00:00,1.3201211
06:30:00,2.066939833
07:00:00,2.800609267
07:30:00,3.4388629
08:00:00,3.9827119
08:30:00,4.430600567
09:00:00,4.793218367
09:30:00,5.0691973
10:00:00,5.3003143
10:30:00,5.443497533
11:00:00,5.498336033
11:30:00,5.591554367
12:00:00,5.5780395
12:30:00,5.5102292
13:00:00,5.324279867
13:30:00,5.239855933
14:00:00,5.002424133
14:30:00,4.796216233
15:00:00,4.572188733
15:30:00,4.308898133
16:00:00,4.003049733
16:30:00,3.664713867
17:00:00,3.3292059
17:30:00,2.987396067
18:00:00,2.765616033
18:30:00,3.483832033
19:00:00,0
19:30:00,0
20:00:00,0
